%% LaTeX2e file `data2.dat'
%% generated by the `filecontents' environment
%% from source `instance_sizes' on 2018/06/17.
%%
gates sumgen sumnondom
1.00 5.97 3.17
2.00 14.54 6.40
3.00 28.01 9.52
4.00 38.16 12.12
5.00 58.51 16.82
6.00 69.61 20.06
7.00 88.88 23.24
8.00 99.60 26.64
9.00 116.56 30.91
10.00 141.98 34.40
11.00 138.32 36.27
12.00 184.22 42.84
13.00 180.77 44.37
14.00 179.91 47.39
15.00 229.77 52.86
16.00 227.36 54.69
17.00 229.71 57.74
18.00 290.78 64.05
19.00 266.68 66.71
20.00 300.91 69.23
21.00 321.77 75.42
22.00 332.04 76.80
23.00 353.68 82.25
24.00 375.99 85.24
25.00 369.87 86.66
26.00 400.34 92.24
27.00 426.65 97.20
28.00 442.43 98.53
29.00 425.79 100.14
30.00 510.86 109.60
31.00 478.69 110.21
32.00 529.16 115.95
33.00 559.21 117.10
34.00 615.53 124.56
35.00 556.57 122.49
36.00 864.28 156.90
37.00 682.15 142.50
38.00 982.98 174.02
39.00 793.68 157.55
40.00 1041.22 185.11
